npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  1/30/2026 5:40:37 PM ::1 HEAD /statistik/heatmap/
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 4 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 2 ms
 HTTP  1/30/2026 5:40:37 PM ::1 HEAD /laporan/perbandingan/
 HTTP  1/30/2026 5:40:37 PM ::1 GET /cicilan/__next._tree.txt?_rsc=1ctzc
 HTTP  1/30/2026 5:40:37 PM ::1 GET /anggaran/__next._tree.txt?_rsc=1ctzc
 HTTP  1/30/2026 5:40:37 PM ::1 GET /statistik/heatmap/__next._tree.txt?_rsc=1ctzc
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 4 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 2 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 2 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 3 ms
 HTTP  1/30/2026 5:40:37 PM ::1 HEAD /laporan/
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 2 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /laporan/perbandingan/__next._tree.txt?_rsc=1ctzc
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 2 ms
 HTTP  1/30/2026 5:40:37 PM ::1 HEAD /statistik/
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 1 ms
 HTTP  1/30/2026 5:40:37 PM ::1 HEAD /akun/
 HTTP  1/30/2026 5:40:37 PM ::1 GET /laporan/__next._tree.txt?_rsc=1ctzc
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 3 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 2 ms
 HTTP  1/30/2026 5:40:37 PM ::1 HEAD /transaksi/
 HTTP  1/30/2026 5:40:37 PM ::1 GET /statistik/__next._tree.txt?_rsc=1ctzc
 HTTP  1/30/2026 5:40:37 PM ::1 GET /akun/__next._tree.txt?_rsc=1ctzc
 HTTP  1/30/2026 5:40:37 PM ::1 GET /__next._head.txt?_rsc=15rc3
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 3 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /__next._index.txt?_rsc=4l175
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 3 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 4 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 6 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 5 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /transaksi/__next._tree.txt?_rsc=1ctzc
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 1 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /__next.__PAGE__.txt?_rsc=vmqro
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 1 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /template/__next._head.txt?_rsc=15rc3
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 1 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /template/__next.template.txt?_rsc=17ikw
 HTTP  1/30/2026 5:40:37 PM ::1 GET /template/__next.template.__PAGE__.txt?_rsc=p9cl4
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 7 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 6 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /template-admin-dan-bunga-bank/__next._head.txt?_rsc=15rc3
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/151844ef7dd082c4.js
 HTTP  1/30/2026 5:40:37 PM ::1 GET /template-admin-dan-bunga-bank/__next.template-admin-dan-bunga-bank.txt?_rsc=16efz
 HTTP  1/30/2026 5:40:37 PM ::1 GET /template-admin-dan-bunga-bank/__next.template-admin-dan-bunga-bank.__PAGE__.txt?_rsc=1kne2
 HTTP  1/30/2026 5:40:37 PM ::1 GET /kalender/__next._head.txt?_rsc=15rc3
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/4b156dd266bc9c92.js
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 6 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 4 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 5 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 6 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 5 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 6 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/7d930ec1d24a2465.js
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/971d771da9231a71.js
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/9e7b24eb2279c19a.js
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/f71bc58a2a4558ed.js
 HTTP  1/30/2026 5:40:37 PM ::1 GET /kalender/__next.kalender.txt?_rsc=1z088
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 11 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 12 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /kalender/__next.kalender.__PAGE__.txt?_rsc=12waq
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 6 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 6 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 17 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 8 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /transaksi-berulang/__next._head.txt?_rsc=15rc3
 HTTP  1/30/2026 5:40:37 PM ::1 GET /transaksi-berulang/__next.transaksi-berulang.txt?_rsc=b90i6
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/59dc54d9b4b6b326.js
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 8 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 10 ms
